boro,boro_name,NEIGHBORHOOD,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity,BORO,BORO_NAME,NBHD,NBHD_NAME
3,Brooklyn,3240,prediction,GROSSCON,42,1.0139,0.8976477569469011,0.8164296172269767,5.401989097415568,1.0067383826593073,-0.07081874747088078,1.0769897766713328,0.12431880001845244,0.1064756214124734,-0.01784317860597913,0.8564724031817345,0,0,0.0012935,0,TRUE,TRUE,TRUE,3,Brooklyn,FLATLANDS,FLATLANDS
3,Brooklyn,3250,prediction,GROSSCON,91,1.0056,0.9019195490896421,0.8283099692053408,8.98519482430264,1.0286024384457018,-0.09646301284165874,1.1098462945137542,0.22510132399780008,0.18134912267965556,-0.04375220131814456,0.8056333008571193,0,0,0,0,TRUE,TRUE,TRUE,3,Brooklyn,FT GREENE,FORT GREENE
3,Brooklyn,3270,prediction,GROSSCON,3,,,,,,,,,,,,,,,,,,,3,Brooklyn,GOWANUS,GOWANUS
3,Brooklyn,3280,prediction,GROSSCON,44,1.0209,0.8707366515442553,0.7560905724199576,5.930789213518891,1.0097763181690593,-0.13575534251244942,1.2085409213485017,0.11731734265069339,0.08968473289728615,-0.027632609753407315,0.764462703219574,0,0,5.3e-6,0,TRUE,TRUE,TRUE,3,Brooklyn,GRAVESEND,GRAVESEND
3,Brooklyn,3290,prediction,GROSSCON,9,1.0085,0.9393636250852886,0.8320028011204481,7.090456694566752,1.028819354188587,-0.12420469559632505,1.1694606110823498,0.22805351602066123,0.1979250966297505,-0.030128419390910696,0.8678888187447146,1.51e-5,1.834e-4,0.1648407,1.834e-4,TRUE,TRUE,TRUE,3,Brooklyn,GREENPOINT,GREENPOINT
3,Brooklyn,3320,prediction,GROSSCON,74,1.006,0.9212101665202563,0.8922830751833454,10.281982608725274,1.0300876260810015,-0.11108408714232273,1.1167282924766466,0.23174339854682943,0.20173230009282034,-0.030011098454009268,0.8704985831648414,0,0,7.68e-5,0,TRUE,TRUE,FALSE,3,Brooklyn,KENSINGTON,KENSINGTON
3,Brooklyn,3330,prediction,GROSSCON,99,0.9896,0.8401483082029454,0.7895132537510302,11.085581896191252,1.0257857255169043,-0.13869861367216207,1.1985830793199472,0.1848118076607328,0.14049015457745498,-0.044321653083277866,0.7601795380702023,0,0,0,0,TRUE,TRUE,TRUE,3,Brooklyn,MADISON,MADISON
3,Brooklyn,3340,prediction,GROSSCON,4,,,,,,,,,,,,,,,,,,,3,Brooklyn,MANHTN BCH,MANHATTAN BEACH
3,Brooklyn,3350,prediction,GROSSCON,54,1.0154,0.7883636057052433,0.8036316603893419,6.614900585353209,1.0084241689571358,-0.14031273808367598,1.2826043006517804,0.1023589945768437,0.07670978516441235,-0.025649209412431297,0.7494190958159936,0,0,1.37e-5,0,TRUE,TRUE,TRUE,3,Brooklyn,MARINE PRK,MARINE PARK
3,Brooklyn,3360,prediction,GROSSCON,118,1.0082,0.8491014974607467,0.8433768928284152,12.396678486217025,1.0317241213893307,-0.10434174729956497,1.170235487403953,0.22173312112438712,0.17805174986699435,-0.04368137125739286,0.8030002417505834,0,0,0,0,TRUE,TRUE,FALSE,3,Brooklyn,MIDWOOD,MIDWOOD
3,Brooklyn,3400,prediction,GROSSCON,240,1.0065,0.9186036167459666,0.8872117136910138,9.14207221332383,1.0223042070018473,-0.08609239568103523,1.1437582657132508,0.217067637078069,0.18545694819223402,-0.031610688885834994,0.8543740130433811,0,0,0,0,TRUE,TRUE,TRUE,3,Brooklyn,OCEAN PY-N,OCEAN PARKWAY-NORTH
3,Brooklyn,3401,prediction,GROSSCON,95,1.0237,0.6874242449213619,0.7948947412351501,8.57812879982063,1.022441846797047,-0.15797968989879776,1.1947558694040865,0.1566190421862159,0.11361834169589333,-0.04300070049032247,0.7254439824807772,0,0,8e-7,0,TRUE,TRUE,TRUE,3,Brooklyn,OCEAN PY-S,OCEAN PARKWAY-SOUTH
