"","boro","NEIGHBORHOOD","decile","COOPUNITKEY","GROSSCON","prediction","geometry"
"200",1,1282,6,"101851002000000004-0000      5",845000,850419.263750364,c(-73.9684863187091, 40.7935701821931)
"201",1,1120,8,"100566001800000001-0000     7F",1285000,1137011.93215575,c(-73.9949969035654, 40.7320770876281)
"202",1,1280,5,"101183003700000001-0000     1C",775000,1055928.29305421,c(-73.9852510230379, 40.7798241608881)
"203",4,4370,1,"403338003000000001-0000     6L",203000,301034.181287794,c(-73.8288047218657, 40.7082041998762)
"204",4,4210,5,"405024000100000001-0000     6J",302150,362938.741653507,c(-73.8218315079335, 40.7620594030185)
"205",1,1121,4,"100588000700000001-0000     1D",650000,644809.318278644,c(-74.005120352603, 40.7323355718371)
"206",1,1180,7,"100311001300000010-0000  K1106",1250000,1107789.81098698,c(-73.9880777776326, 40.715404258894)
"207",4,4290,5,"407912005000000003-0000     2R",309888,292865.123283252,c(-73.7445255835206, 40.735656032127)
"208",1,1010,7,"100404005000000001-0000     2A",1045000,975964.469965808,c(-73.9812312018938, 40.7276658996533)
"209",1,1280,3,"101145004900000001-0000     3D",555000,578863.947977924,c(-73.9794901237299, 40.779177179113)
"210",1,1271,1,"101562003800000001-0000     1C",280000,300885.397814528,c(-73.9499323696357, 40.7743095901298)
"211",3,3401,1,"307224003700000003-0000     6E",235000,227338.45393879,c(-73.9618552027741, 40.5887724253505)
"212",3,3440,7,"301165001200000001-0000     2A",585000,603567.316544774,c(-73.9688867632286, 40.676574234936)
"213",1,1280,10,"101166000100000001-0000     3A",6000000,5846123.70290194,c(-73.9830485369811, 40.7811741845405)
"214",1,1271,7,"101502002300000001-0000     4D",1125000,1183668.29546374,c(-73.9563690992347, 40.7834153391525)
"215",3,3020,3,"306099000100000004-0000     1B",289000,337442.216878234,c(-74.0393201526122, 40.6198232861987)
"216",1,1270,4,"101447001900000001-0000    33B",640000,632476.198747421,c(-73.9564599780601, 40.7683018702458)
"217",3,3140,10,"300381002700000004-0000      C",1300000,1216045.29237795,c(-73.9996338313349, 40.6757920746506)
"218",1,1160,3,"100921001900000001-0000     5G",550000,573465.912124618,c(-73.9831846061842, 40.7319207283437)
"219",1,1280,9,"101118002200000001-0000    18D",2180000,2140841.3192422,c(-73.9797499795427, 40.7724006596486)
"220",3,3500,6,"300758003700000001-0000     4D",475000,507681.00601186,c(-74.0041607801497, 40.6447598322979)
"221",1,1110,2,"100907005600000001-0000     8S",465000,506596.403468847,c(-73.9809426313723, 40.7408997795043)
"222",1,1271,7,"101586002100000001-0000    16O",1075000,1213174.18119955,c(-73.9435233686531, 40.7773434164237)
"223",4,4320,3,"401281002500000001-0000     4K",250000,300583.903005808,c(-73.8847481489433, 40.7505172995702)
"224",1,1201,1,"101334004100000001-0000   1616",399000,338512.70768065,c(-73.9714800907511, 40.7492114132245)
"225",1,1280,6,"101145000100000001-0000     6F",855000,788698.075743878,c(-73.9806572839604, 40.7793355185712)
